CCA,Duration of Expt(sec),Base RTT(ms),Total Bandwidth(Kbps),Sum of sq of BW,Flow Count,JFI
bbr,10800,20,8682171,75382171851,1000,0.9999724261359422
bbr,10800,20,8516024,24198528918,2997,0.9999954993766149
bbr,10800,20,8306403,13804877307,4998,0.999993536191141
bbr,10800,100,8317009,85785304945,1000,0.8063460140455295
bbr,10800,100,8259431,23813123271,2990,0.958104125770717
bbr,10800,100,8243046,21344145830,5000,0.6366879977235987
bbr,10800,200,8126957,78730481773,1000,0.8389054479595405
bbr,10800,200,8148414,27424809194,2993,0.8089018730119294
bbr,10800,200,8151134,13970437088,4982,0.9546020185327477
bbr,10800,20,94135,886466537,10,0.9996314418126762
bbr,10800,20,94942,300467780,30,0.9999944490997781
bbr,10800,20,95608,182820166,50,0.999987021563037
bbr,10800,100,93253,869871677,10,0.9997017076117539
bbr,10800,100,93532,291621730,30,0.9999523496871559
bbr,10800,100,93725,175690141,50,0.9999850390011356
bbr,10800,200,92630,858233836,10,0.9997644627937974
bbr,10800,200,92615,285983133,30,0.9997720419173579
bbr,10800,200,92702,175401918,49,0.9998797888555236
bbr,10800,20,916839,8958344011,94,0.9982298861913877
bbr,10800,20,979156,3196581278,300,0.9997623387361069
bbr,10800,20,978408,1966466996,487,0.9995956719750447
bbr,10800,100,963592,9301311782,100,0.998256551576802
bbr,10800,100,964888,3104814132,300,0.9995325677721868
bbr,10800,100,966967,1870860233,500,0.9995671109964739
bbr,10800,200,958373,9193973279,100,0.9990009534037934
bbr,10800,200,955192,3045137198,300,0.9987418163657181
bbr,10800,200,960776,1852823532,500,0.996414937778327
cubic,10800,20,8207093,67983958721,994,0.9967491523716968
cubic,10800,20,8079312,21846112238,2992,0.9986493175678477
cubic,10800,20,8058698,13034156300,4989,0.99869605246468
cubic,10800,100,8488101,73842074101,995,0.9806050142604888
cubic,10800,100,8047774,21629079734,2999,0.9984746344479994
cubic,10800,100,8040742,12950633796,4998,0.9988608231978582
cubic,10800,200,8623746,77826048684,992,0.9632860244155091
cubic,10800,200,8292225,22945486223,3000,0.9989037318328959
cubic,10800,200,8095961,13125487349,4999,0.9989373241478341
cubic,10800,20,95715,919842649,10,0.9959704776637291
cubic,10800,20,95737,306659487,30,0.996281278046139
cubic,10800,20,95741,183989565,50,0.9963977121202499
cubic,10800,100,95693,916058763,10,0.9996247641375382
cubic,10800,100,95707,305590351,30,0.9991403872347178
cubic,10800,100,95699,183342635,50,0.9990364326333588
cubic,10800,200,95686,916484212,10,0.9990145466903035
cubic,10800,200,95718,306552950,30,0.9962319749328786
cubic,10800,200,96168,189908852,49,0.9938477979285922
cubic,10800,20,989229,9815963379,100,0.9969210118841052
cubic,10800,20,990313,3274152927,300,0.9984463766506693
cubic,10800,20,987588,1951929752,500,0.9993495480507436
cubic,10800,100,987329,9794346795,100,0.9952869493437209
cubic,10800,100,990324,3272471508,300,0.9989815776632882
cubic,10800,100,988243,1954222929,500,0.9995013491615827
cubic,10800,200,987606,9761626576,100,0.9991834902126254
cubic,10800,200,988059,3258582279,300,0.9986557587456886
cubic,10800,200,989354,1960433292,500,0.9985765303112389
reno,3600,20,8780200,77783266658,1000,0.9911117821646682
reno,3600,20,8616034,24808493128,3000,0.9974546687987511
reno,3600,20,8665154,15041755340,5000,0.9983528138374308
reno,3600,100,8780782,79058851456,1000,0.9752498437753677
reno,3600,100,8574729,24636837361,2999,0.9951290037371623
reno,3600,100,8676260,15089780036,5000,0.9977280968709807
reno,3600,200,8919040,84016514614,998,0.9487264768315996
reno,3600,200,8622450,24976304228,3000,0.9922290520355525
reno,3600,200,8536169,14615049725,5000,0.9971390117396401
reno,10800,20,95732,920242676,10,0.9958911994644335
reno,10800,20,95763,307070233,30,0.995489107861523
reno,10800,20,95709,183812087,50,0.9966931805741371
reno,10800,100,95695,917723803,10,0.997852839281755
reno,10800,100,95708,305445812,30,0.9996340762836629
reno,10800,100,95738,183389122,50,0.9995974182154599
reno,10800,200,95704,920132390,10,0.9954280183528808
reno,10800,200,95701,308894921,30,0.9883276133029502
reno,10800,200,95727,183766207,50,0.9973170452388996
reno,10800,20,990838,9830898856,100,0.99864718030825
reno,10800,20,992790,3289170310,300,0.9988658650515424
reno,10800,20,987851,1952974269,500,0.9993471124437021
reno,10800,100,988406,9785374900,100,0.9983740335140353
reno,10800,100,987442,3251544960,300,0.9995676059215043
reno,10800,100,990825,1964066321,500,0.9996955501229228
reno,10800,200,991426,9984104176,99,0.9944347900563829
reno,10800,200,988360,3258242966,300,0.9993683710244625
reno,10800,200,990508,1963025556,500,0.9995856600697256
